dt,point,depth,depth2,DO_dusk,DO_dawn,Temp_C
9/7/2020,Cypress,0.2,1.2,8.12,5.21,30.6
9/7/2020,Cypress,0.6,1.2,4.44,4.03,29.8
9/7/2020,Cypress,1,1.2,3.36,2.83,28
9/7/2020,Dock,0.2,1.6,9.73,3.29,31.8
9/7/2020,Dock,0.6,1.6,9.84,3.09,32.5
9/7/2020,Dock,1,1.6,8.95,3.06,32.2
9/7/2020,Dock,1.4,1.6,2.56,2.59,28.7
9/7/2020,Gauge,0.2,1.2,7.9,4.59,30.2
9/7/2020,Gauge,0.6,1.2,6.7,4.5,30.2
9/7/2020,Gauge,1,1.2,3.46,4.26,29.6
9/8/2020,Cypress,0.2,1.2,7.34,4.51,30.2
9/8/2020,Cypress,0.6,1.2,4.52,3.95,28.4
9/8/2020,Cypress,1,1.2,3.06,2.85,27.4
9/8/2020,Dock,0.2,1.6,7.53,5.63,28.6
9/8/2020,Dock,0.6,1.6,5.51,5.48,28.1
9/8/2020,Dock,1,1.6,3.84,5.34,27.8
9/8/2020,Dock,1.4,1.6,2.66,5.32,27.6
9/8/2020,Gauge,0.2,1.2,6.25,4.23,29.3
9/8/2020,Gauge,0.6,1.2,3.15,4.05,28.3
9/8/2020,Gauge,1,1.2,1.54,3.19,28
9/8/2020,Cypress2,0.2,1.2,8.24,4.65,29.4
9/8/2020,Cypress2,0.6,1.2,4.37,4.3,28.1
9/8/2020,Cypress2,1,1.2,3.65,3.22,27.4
9/20/2020,Cypress,0.2,1.2,8,5.48,24.7
9/20/2020,Cypress,0.6,1.2,7.24,5.04,24.4
9/20/2020,Cypress,1,1.2,4.97,4.87,23.7
9/20/2020,Cypress2,0.2,1.2,7.71,5.78,24.5
9/20/2020,Dock,0.2,1.6,8.94,6.59,25.1
9/20/2020,Dock,0.6,1.6,8.53,6.26,25.1
9/20/2020,Dock,1,1.6,6.4,6.06,24.5
9/20/2020,Dock,1.4,1.6,4.83,5.93,23.9
9/20/2020,Gauge,0.2,1.2,8.83,6.5,24.3
9/20/2020,Gauge,0.6,1.2,8.78,6.32,24.5
9/20/2020,Gauge,1,1.2,4.24,3.24,24.5
6/13/2020,Dock,0.6,1.6,9.84,7.74,30.5
6/13/2020,1,0.6,2.32,10.08,7.67,29.7
6/13/2020,2,0.6,1.95,10.22,8.25,29.9
6/13/2020,3,0.6,2.02,10.1,8.12,30
6/13/2020,4,0.6,1.9,10.01,7.5,30.1
6/13/2020,5,0.6,1.615,10.31,7.88,29.7
6/13/2020,6,0.6,1.395,9.49,6.37,30
6/13/2020,7,0.6,1.695,9.44,5.82,29.3
6/13/2020,8,0.6,1.595,9.59,8.07,29.1
6/13/2020,9,0.6,1.86,9.73,7.45,29.7
6/13/2020,10,0.6,2.475,9.85,7.39,28.7
6/13/2020,11,0.6,1.775,9.31,7.97,28.9
6/13/2020,12,0.6,1.68,8.93,7.85,28.8
6/13/2020,13,0.6,1.425,9.69,7.11,29.5
6/13/2020,14,0.6,2.085,3.29,3.65,23.4
6/13/2020,15,0.6,1.13,3.36,1.34,24.1
6/13/2020,16,0.6,2.255,4.72,5.02,26
6/13/2020,17,0.6,0.825,7.89,7.07,27.6
6/13/2020,18,0.6,1.615,7.48,7.92,27
6/13/2020,19,0.6,1.555,6.24,7.14,26.1
6/13/2020,20,0.6,1.45,3.21,5.23,26.1
6/13/2020,21,0.6,1.145,3.12,2.02,28.1
6/13/2020,22,0.6,1.28,3.59,4.43,25.1
6/13/2020,23,0.6,2.105,3.03,3.72,24
6/13/2020,24,0.6,2.34,2.54,2.78,23.5
10/5/2020,Cypress,0.2,1.2,5.45,4.46,22.6
10/5/2020,Cypress,0.6,1.2,4.37,3.76,20.2
10/5/2020,Cypress,1,1.2,4.2,3.14,19.5
10/5/2020,Cypress2,0.2,1.2,6.84,4.65,22.1
10/5/2020,Cypress2,0.6,1.2,4.95,4.52,19.8
10/5/2020,Cypress2,1,1.2,4.58,4.35,19
10/5/2020,Dock,0.2,1.6,9.29,7.12,26
10/5/2020,Dock,0.6,1.6,7.06,6.84,22.5
10/5/2020,Dock,1,1.6,6.92,5.45,20.3
10/5/2020,Dock,1.4,1.6,6.45,4.72,20.1
10/5/2020,Gauge,0.2,1.2,9.03,7.25,25.2
10/5/2020,Gauge,0.6,1.2,7.44,6.39,23.6
